"subject","subject_label","predicate","object","object_label","sentence","source_url"
"Guardian","ORG","cite","the European Union","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the United States","GPE","cite","the United Kingdom","GPE","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the United States","GPE","cite","the European Union","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"the United Kingdom","GPE","cite","the European Union","ORG","Previous editions have been cited in major newspapers, including the The New York Times, Bloomberg, and The Guardian, have amassed hundreds of academic citations, and been referenced by high-level pol","https://aiindex.stanford.edu/report/"
"year","DATE","surpass","AI","GPE","This year’s edition surpasses all previous ones in size, scale, and scope, reflecting the growing significance that AI is coming to hold in all of our lives.","https://aiindex.stanford.edu/report/"
"Stanford HAI","PERSON","make","AI","ORG","Unrestricted gifts and pledges to support Stanford HAI, including AI Index, may be made online.","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","the Global AI Vibrancy Tool","ORG","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","2026","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","April 13th","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","Stanford HAI","ORG","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","AI","GPE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"annual","DATE","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","believe","2026","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","believe","April 13th","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","believe","Stanford HAI","ORG","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","believe","AI","GPE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"the Global AI Vibrancy Tool","ORG","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"2026","DATE","believe","April 13th","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"2026","DATE","believe","Stanford HAI","ORG","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"2026","DATE","believe","AI","GPE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"2026","DATE","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"April 13th","DATE","believe","Stanford HAI","ORG","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"April 13th","DATE","believe","AI","GPE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"April 13th","DATE","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"Stanford HAI","ORG","believe","AI","GPE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"Stanford HAI","ORG","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"AI","GPE","believe","the 21st century","DATE","We welcome feedback and new ideas for our annual reports and the Global AI Vibrancy Tool at shahed@stanford.edu
The 2026 AI Index Report is coming April 13th
Sign up to receive it first
At Stanford HA","https://aiindex.stanford.edu/report/"
"AI","ORG","related_to","AI","GPE","Recognized as a trusted resource by global media, governments, and leading companies, the AI Index equips policymakers, business leaders, and the public with rigorous, objective insights into AI’s tec","https://aiindex.stanford.edu/report/"
"AI","ORG","related_to","Stanford University","ORG","This paper surveys problems and opportunities in the measurement of AI systems and their impact, based on a workshop held at Stanford University in the fall of 2019.","https://aiindex.stanford.edu/report/"
"AI","ORG","related_to","the fall of 2019","DATE","This paper surveys problems and opportunities in the measurement of AI systems and their impact, based on a workshop held at Stanford University in the fall of 2019.","https://aiindex.stanford.edu/report/"
"Stanford University","ORG","related_to","the fall of 2019","DATE","This paper surveys problems and opportunities in the measurement of AI systems and their impact, based on a workshop held at Stanford University in the fall of 2019.","https://aiindex.stanford.edu/report/"
"AI","GPE","collaborate","AI","ORG","Read More
On a research project regarding the application of AI-relevant regulatory frameworks, the AI Index is collaborating with Dr. Elif Kiesow Cortez who founded and leads the AI & LegTech Lab of ","https://aiindex.stanford.edu/report/"
"AI","GPE","collaborate","The Hague University of Applied Sciences","ORG","Read More
On a research project regarding the application of AI-relevant regulatory frameworks, the AI Index is collaborating with Dr. Elif Kiesow Cortez who founded and leads the AI & LegTech Lab of ","https://aiindex.stanford.edu/report/"
"AI","ORG","collaborate","The Hague University of Applied Sciences","ORG","Read More
On a research project regarding the application of AI-relevant regulatory frameworks, the AI Index is collaborating with Dr. Elif Kiesow Cortez who founded and leads the AI & LegTech Lab of ","https://aiindex.stanford.edu/report/"
"Read Bio","PERSON","join","AI","GPE","Read Bio
Renowned leaders in AI, medicine, and ethics join interdisciplinary committee guiding the world’s leading resource on AI trends.","https://aiindex.stanford.edu/report/"
"Read Bio","PERSON","join","AI","GPE","Read Bio
Renowned leaders in AI, medicine, and ethics join interdisciplinary committee guiding the world’s leading resource on AI trends.","https://aiindex.stanford.edu/report/"
"AI","GPE","join","AI","GPE","Read Bio
Renowned leaders in AI, medicine, and ethics join interdisciplinary committee guiding the world’s leading resource on AI trends.","https://aiindex.stanford.edu/report/"
"HAI Executive","ORG","explore","Russell Wald","PERSON","In this podcast, HAI Executive Director Russell Wald explores how universities, policymakers, and industry must collaborate to keep AI human-centered.","https://aiindex.stanford.edu/report/"
"HAI Executive","ORG","explore","AI","ORG","In this podcast, HAI Executive Director Russell Wald explores how universities, policymakers, and industry must collaborate to keep AI human-centered.","https://aiindex.stanford.edu/report/"
"Russell Wald","PERSON","explore","AI","ORG","In this podcast, HAI Executive Director Russell Wald explores how universities, policymakers, and industry must collaborate to keep AI human-centered.","https://aiindex.stanford.edu/report/"
"Wald","PERSON","explain","AI","ORG","Wald shares takeaways from the AI Index, explains how China is narrowing the performance gap, and outlines why academic institutions are vital to ethical AI leadership.","https://aiindex.stanford.edu/report/"
"Wald","PERSON","explain","China","GPE","Wald shares takeaways from the AI Index, explains how China is narrowing the performance gap, and outlines why academic institutions are vital to ethical AI leadership.","https://aiindex.stanford.edu/report/"
"AI","ORG","explain","China","GPE","Wald shares takeaways from the AI Index, explains how China is narrowing the performance gap, and outlines why academic institutions are vital to ethical AI leadership.","https://aiindex.stanford.edu/report/"
"Stanford HAI's","ORG","provide","2025","DATE","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"Stanford HAI's","ORG","provide","AI","ORG","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"Stanford HAI's","ORG","provide","AI","GPE","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"2025","DATE","provide","AI","ORG","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"2025","DATE","provide","AI","GPE","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"AI","ORG","provide","AI","GPE","Stanford HAI's 2025 AI Index provides insights in AI advancements.","https://aiindex.stanford.edu/report/"
"HAI","ORG","discuss","Russ Altman","PERSON","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"HAI","ORG","discuss","AI","ORG","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"HAI","ORG","discuss","the Institute for Human-Centered Artificial Intelligence","ORG","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"Russ Altman","PERSON","discuss","AI","ORG","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"Russ Altman","PERSON","discuss","the Institute for Human-Centered Artificial Intelligence","ORG","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"AI","ORG","discuss","the Institute for Human-Centered Artificial Intelligence","ORG","HAI Associate Director Russ Altman discusses how artificial intelligence improves patient care and expands research capacity, as reported by the AI Index from the Institute for Human-Centered Artifici","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","note","Stanford","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","note","Research","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","note","AI Index Steering Committee","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","note","2025","DATE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Vanessa Parli","PERSON","note","AI","GPE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Stanford","ORG","note","Research","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Stanford","ORG","note","AI Index Steering Committee","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Stanford","ORG","note","2025","DATE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Stanford","ORG","note","AI","GPE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Research","ORG","note","AI Index Steering Committee","ORG","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Research","ORG","note","2025","DATE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"Research","ORG","note","AI","GPE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"AI Index Steering Committee","ORG","note","2025","DATE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"AI Index Steering Committee","ORG","note","AI","GPE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"2025","DATE","note","AI","GPE","Vanessa Parli, Stanford HAI Director of Research and AI Index Steering Committee member, notes that the 2025 AI Index reports flourishing and higher-quality academic research in AI.","https://aiindex.stanford.edu/report/"
"ETA","ORG","analyze","TikTok","ORG","Machines can analyze a set of data and find patterns in it for a multitude of use cases, whether it’s fraud or spam detection, forecasting the ETA of your delivery or predicting which TikTok video to ","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"AI","GPE","replace","AI","GPE","Certain functions may be completely replaced by generative AI, while others are more likely to thrive from a tight iterative creative cycle between human and machine—but generative AI should unlock be","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","have","trillions of dollars","MONEY","Therefore, Generative AI has the potential to generate trillions of dollars of economic value.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","have","AI","GPE","Generative AI has the same “why now” as AI more broadly: better models, more data, more compute.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"today","DATE","provide","3D","ORG","But just like with images, today’s models provide a starting point for further refinement or final output for utilitarian applications.
- Video and 3D models are coming up the curve quickly.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","build","GPT-3","ORG","Intelligence and model fine-tuning
Generative AI apps are built on top of large models like GPT-3 or Stable Diffusion.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","build","Stable Diffusion","ORG","Intelligence and model fine-tuning
Generative AI apps are built on top of large models like GPT-3 or Stable Diffusion.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"GPT-3","ORG","build","Stable Diffusion","ORG","Intelligence and model fine-tuning
Generative AI apps are built on top of large models like GPT-3 or Stable Diffusion.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","think","UI","ORG","We can think of Generative AI apps as a UI layer and “little brain” that sits on top of the “big brain” that is the large general-purpose models.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Today","DATE","exist","Generative AI","PERSON","Today, Generative AI apps largely exist as plugins in existing software ecosystems.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"IDE","ORG","related_to","Figma","ORG","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"IDE","ORG","related_to","Photoshop","PRODUCT","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"IDE","ORG","related_to","Discord","ORG","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"IDE","ORG","related_to","AI","GPE","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Figma","ORG","related_to","Photoshop","PRODUCT","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Figma","ORG","related_to","Discord","ORG","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Figma","ORG","related_to","AI","GPE","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Photoshop","PRODUCT","related_to","Discord","ORG","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Photoshop","PRODUCT","related_to","AI","GPE","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Discord","ORG","related_to","AI","GPE","Code completions happen in your IDE; image generations happen in Figma or Photoshop; even Discord bots are the vessel to inject generative AI into digital/social communities.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","be","Jasper","GPE","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","be","Runway","ORG","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","be","Mem","PERSON","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Jasper","GPE","be","Runway","ORG","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Jasper","GPE","be","Mem","PERSON","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Runway","ORG","be","Mem","PERSON","There are also a smaller number of standalone Generative AI web apps, such as Jasper and Copy.ai for copywriting, Runway for video editing, and Mem for note taking.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Today","DATE","use","Generative AI","PERSON","Today, Generative AI outputs are being used as prototypes or first drafts.","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"decades","DATE","go","Generative AI","PERSON","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"decades","DATE","go","Pixar","ORG","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"decades","DATE","go","Roblox","PERSON","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","go","Pixar","ORG","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Generative AI","PERSON","go","Roblox","PERSON","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Pixar","ORG","go","Roblox","PERSON","If we allow ourselves to dream multiple decades out, then it’s easy to imagine a future where Generative AI is deeply embedded in how we work, create and play: memos that write themselves; 3D print an","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"today","DATE","go","several years","DATE","While these experiences may seem like science fiction today, the rate of progress is incredibly high—we have gone from narrow language models to code auto-complete in several years—and if we continue ","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"GPT-3","ORG","spit","AI","GPE","GPT-3 did not spit out the entire article, but it was responsible for combating writer’s block, generating entire sentences and paragraphs of text, and brainstorming different use cases for generative","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"Midjourney","PERSON","generate","SO MUCH FUN","ORG","We also generated illustrations for this post with Midjourney, which was SO MUCH FUN!","https://www.sequoiacap.com/article/generative-ai-a-creative-new-world/"
"AI","GPE","’","2024","DATE","What’s next for AI in 2024","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"this year","DATE","look","MIT Technology Review’s","ORG","Our writers look at the four hot trends to watch out for this year
MIT Technology Review’s","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","OpenAI","PERSON","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","Biden","PERSON","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","October","DATE","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","the European Union’s AI Act","ORG","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","December","DATE","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","Big Tech","ORG","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","AI","GPE","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
"2023","DATE","come","OpenAI","ORG","Our four big bets for 2023 were that the next big thing in chatbots would be multimodal (check: the most powerful large language models out there, OpenAI’s GPT-4 and Google DeepMind’s Gemini, work wit","https://www.technologyreview.com/2024/01/04/1086046/whats-next-for-ai-in-2024/"
